"Searches","Búsqueda"
"Page views","Vistas de página"
"Category views","Vistas de categoría"
"Product views","Vistas de producto"
"Products added to cart","Productos añadidos al carrito"
"Sales","Ventas"
"Sessions","Sesiones"
"Sessions with search","Sesiones con búsqueda"
"Sessions without search","Sesiones sin búsqueda"
"Searches per session","Búsqueda por sesión"
"Visitors","Visitas"
"Term","Plazo"
"# Results (avg.)","# Resultados (promedio.)"
"Conv. rate","Tasa conv"
"Conversion rate for the term(s)","Tasa de conversión para el término(s)"
"Popular search terms","Términos de búsqueda populares"
"Spellchecked search terms","Términos de búsqueda verificados"
"0 results search terms","0 términos de búsqueda de resultados"
"No data over the selected period.","No hay datos sobre el período seleccionado."
"Analytics","Analíticas"
"Search Usage","Buscar Uso"
"Search Usage Analytics","Análisis de uso de búsqueda"
"Search terms configuration","Configuración de términos de búsqueda"
"Max search terms","Max términos de búsqueda"
"Maximum number of search terms to display in the search usage report blocks.","Número máximo de términos de búsqueda a mostrar en los bloques de reportes de uso de búsqueda."
"Spellcheck usage","Uso del corrector ortográfico"
"Spellchecked searches","Búsquedas comprobadas ortográficas"
"Exact searches","Búsqueda exacta"
"Conversion rate","Tasa de conversión"
"All sessions","Todas las sesiones"
"With search","Con búsqueda"
"Without search","Sin búsqueda"
"What is this ?","¿Qué es esto?"
"The terms listed below are the most popular search terms, whether they lead to exact or close matches.<br />The link on a term leads to its edit screen where you can either <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ProductSorting#using-the-merchandiser"" target=""_blank"">merchandise</a> the search results page or configure a redirection - for instance to redirect the user to a dedicated category.<br />The ""conversion rate"" column value is computed as the ratio of the number of sessions where an order was placed and the term(s) searched for on the total number of sessions where the term(s) were searched for.","The terms listed below are the most popular search terms, whether they lead to exact or close matches.<br />The link on a term leads to its edit screen where you can either <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ProductSorting#using-the-merchandiser"" target=""_blank"">merchandise</a> the search results page or configure a redirection - for instance to redirect the user to a dedicated category.<br />The ""conversion rate"" column value is computed as the ratio of the number of sessions where an order was placed and the term(s) searched for on the total number of sessions where the term(s) were searched for."
"The terms listed below were those for which they were no exact results and only close matches were displayed.<br />If a term is a ""popular mispelling"" with not many results while you know the correct search term would return more products, you might want to add a rule in the <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ThesaurusAdministration"" target=""blank"">Thesaurus</a>.","The terms listed below were those for which they were no exact results and only close matches were displayed.<br />If a term is a ""popular mispelling"" with not many results while you know the correct search term would return more products, you might want to add a rule in the <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ThesaurusAdministration"" target=""blank"">Thesaurus</a>."
"The terms listed below were those for which they were no exact results and only close matches were displayed.<br />If a term is a ""popular mispelling"" with not many results while you know the correct search term would return more products, you might want to add a rule in the <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ThesaurusAdministration"" target=""blank"">Thesaurus</a>.","The terms listed below were those for which they were no exact results and only close matches were displayed.<br />If a term is a ""popular mispelling"" with not many results while you know the correct search term would return more products, you might want to add a rule in the <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ThesaurusAdministration"" target=""blank"">Thesaurus</a>."
"There are currently %1 events created more than %2 hours ago in the events queue table. If you think this screen is lacking some behavioral data, make sure the ""elasticsuite_index_log_event"" cronjob is running frequently enough.","Actualmente hay %1 eventos creados hace más de %2 horas en la tabla de cola de eventos. Si cree que esta pantalla carece de algunos datos de comportamiento, asegúrese de que el cronjob ""elasticsuite_index_log_event"" se esté ejecutando con suficiente frecuencia."
"Pending events configuration","Configuración de eventos pendientes"
"Hours before warning","Horas antes de avisar"
"A warning will be displayed on the search usage dashboard if there are pending events older than this number of hours still in the events queue table.","Se mostrará una advertencia en el panel de uso de la búsqueda si hay eventos pendientes más antiguos que este número de horas en la tabla de la cola de eventos."
"Filters configuration","Configuración de filtros"
"Show Customer Group filter","Mostrar filtro de grupo de clientes"
"If enabled, will allow you to filter and display search usage data for a specific customer group.","Si está activado, le permitirá filtrar y mostrar los datos de uso de la búsqueda para un grupo de clientes específico."
"Show Company filter","Mostrar filtro de empresa"
"If enabled, and if you are using the B2B features and the Company feature, will allow to filter and display search usage data for a specific company.","Si está activado, y si está utilizando las características B2B y la característica de la compañía, permitirá filtrar y mostrar los datos de uso de la búsqueda para una empresa específica."
