"Searches","Ricerche"
"Page views","Visualizzazioni pagina"
"Category views","Viste categoria"
"Product views","Viste prodotto"
"Products added to cart","Prodotti aggiunti al carrello"
"Sales","Vendite"
"Sessions","Sessioni"
"Sessions with search","Sessioni con ricerca"
"Sessions without search","Sessioni senza ricerca"
"Searches per session","Ricerche per sessione"
"Visitors","Visitatori"
"Term","Termine"
"# Results (avg.)","# Risultati (medio)"
"Conv. rate","Tasso di conversione"
"Conversion rate for the term(s)","Tasso di conversione per i termini"
"Popular search terms","Termini di ricerca popolari"
"Spellchecked search terms","Termini di ricerca ortografici"
"0 results search terms","0 risultati termini di ricerca"
"No data over the selected period.","Nessun dato nel periodo selezionato."
"Analytics","Analisi"
"Search Usage","Utilizzo Ricerca"
"Search Usage Analytics","Analisi Di Utilizzo Ricerca"
"Search terms configuration","Configurazione dei termini di ricerca"
"Max search terms","Max termini di ricerca"
"Maximum number of search terms to display in the search usage report blocks.","Numero massimo di termini di ricerca da visualizzare nei blocchi del rapporto di utilizzo della ricerca."
"Spellcheck usage","Uso controllo ortografico"
"Spellchecked searches","Ricerche ortografiche"
"Exact searches","Ricerche esatte"
"Conversion rate","Tasso di conversione"
"All sessions","Tutte le sessioni"
"With search","Con ricerca"
"Without search","Senza ricerca"
"What is this ?","Cos'è questo ?"
"The terms listed below are the most popular search terms, whether they lead to exact or close matches.<br />The link on a term leads to its edit screen where you can either <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ProductSorting#using-the-merchandiser"" target=""_blank"">merchandise</a> the search results page or configure a redirection - for instance to redirect the user to a dedicated category.<br />The ""conversion rate"" column value is computed as the ratio of the number of sessions where an order was placed and the term(s) searched for on the total number of sessions where the term(s) were searched for.","I termini elencati di seguito sono i termini di ricerca più popolari, se portano a corrispondenze esatte o chiuse.<br />Il link su un termine porta alla sua schermata di modifica dove è possibile o <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ProductSorting#using-the-merchandiser"" target=""_blank"">merchandise</a> la pagina dei risultati della ricerca o configurare un reindirizzamento, per esempio per reindirizzare l'utente a una categoria dedicata.<br />Il valore della colonna ""tasso di conversione"" viene calcolato come il rapporto tra il numero di sessioni in cui è stato effettuato un ordine e il termine o i termini ricercati sul numero totale di sessioni in cui sono stati ricercati i termini."
"The terms listed below were those for which they were no exact results and only close matches were displayed.<br />If a term is a ""popular mispelling"" with not many results while you know the correct search term would return more products, you might want to add a rule in the <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ThesaurusAdministration"" target=""blank"">Thesaurus</a>.","I termini elencati di seguito erano quelli per i quali non erano risultati esatti e solo le corrispondenze chiuse sono state visualizzate.<br />Se un termine è un ""popolare erroneo"" con non molti risultati mentre si conosce il termine di ricerca corretto restituirebbe più prodotti, potresti voler aggiungere una regola nella <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ThesaurusAdministration"" target=""blank"">Thesaurus</a>."
"The terms listed below were those for which they were no exact results and only close matches were displayed.<br />If a term is a ""popular mispelling"" with not many results while you know the correct search term would return more products, you might want to add a rule in the <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ThesaurusAdministration"" target=""blank"">Thesaurus</a>.","I termini elencati di seguito erano quelli per i quali non erano risultati esatti e solo le corrispondenze chiuse sono state visualizzate.<br />Se un termine è un ""popolare erroneo"" con non molti risultati mentre si conosce il termine di ricerca corretto restituirebbe più prodotti, potresti voler aggiungere una regola nella <a href=""https://github.com/Smile-SA/elasticsuite/wiki/ThesaurusAdministration"" target=""blank"">Thesaurus</a>."
"There are currently %1 events created more than %2 hours ago in the events queue table. If you think this screen is lacking some behavioral data, make sure the ""elasticsuite_index_log_event"" cronjob is running frequently enough.","Ci sono attualmente eventi %1 creati più di %2 ore fa nella tabella in coda degli eventi. Se pensi che questa schermata non abbia alcuni dati comportamentali, assicurati che il cronjob ""elasticsuite_index_log_event"" sia eseguito abbastanza frequentemente."
"Pending events configuration","Configurazione eventi in sospeso"
"Hours before warning","Ore prima dell'avviso"
"A warning will be displayed on the search usage dashboard if there are pending events older than this number of hours still in the events queue table.","Un avviso verrà visualizzato nella dashboard di utilizzo della ricerca se ci sono eventi in attesa più vecchi di questo numero di ore ancora nella tabella della coda degli eventi."
"Filters configuration","Configurazione filtri"
"Show Customer Group filter","Mostra filtro gruppo clienti"
"If enabled, will allow you to filter and display search usage data for a specific customer group.","Se abilitato, ti permetterà di filtrare e visualizzare i dati di utilizzo della ricerca per uno specifico gruppo di clienti."
"Show Company filter","Mostra filtro azienda"
"If enabled, and if you are using the B2B features and the Company feature, will allow to filter and display search usage data for a specific company.","Se abilitato, e se stai usando le funzioni B2B e la funzione Azienda, permetterà di filtrare e visualizzare i dati di utilizzo della ricerca per una specifica azienda."
