"Back","Atrás"
"Delete","Eliminar"
"Are you sure you want to do this?","¿Estás seguro de que quieres hacer esto?"
"Save","Guardar"
"Save and Continue Edit","Guardar y continuar editando"
"Rule conditions","Condiciones de la regla"
"Optimizer","Optimizador"
"New Optimizer","Nuevo optimizador"
"This optimizer no longer exists.","Este optimizador ya no existe."
"You deleted the optimizer %1.","Ha eliminado el optimizador %1."
"Edit %1","Editar %1"
"Something went wrong while editing the optimizer.","Algo salió mal al editar el optimizador."
"Optimizers List","Lista de optimizadores"
"Optimizers","Optimizadores"
"You saved the optimizer %1.","Guardaste el optimizador %1."
"End Date must follow Start Date.","La fecha de fin debe seguir la fecha de inicio."
"Could not save the optimizer: %1","No se pudo guardar el optimizador: %1"
"label","etiqueta"
"Edit","Editar"
"Delete %1","Eliminar %1"
"Are you sure you want to delete %1 ?","¿Está seguro que desea eliminar %1?"
"Yes","Sí"
"No","Nu"
"Search Query","Buscar consulta"
"Preview","Vista previa"
"Base Results","Resultados base"
"Optimized Results","Resultados optimizados"
"Show more","Mostrar más"
"Score : ","Puntuación: "
"Optimizer Information","Información del optimizador"
"Enable optimizer","Habilitar optimizador"
"Store View","Vista de tienda"
"Constant","Constante"
"Based on attribute value","Basado en el valor del atributo"
"Model","Modelo"
"Optimizer Name","Nombre del optimizador"
"Active from","Activo desde"
"Active to","Activo a"
"Request type","Tipo de solicitud"
"Catalog Product Search","Búsqueda de producto de catálogo"
"All search terms","Todos los términos de búsqueda"
"Selected search terms","Términos de búsqueda seleccionados"
"Apply to","Aplicar a"
"Select the search terms for which you want the optimizer to apply.","Seleccione los términos de búsqueda para los que desea que se aplique el optimizador."
"Add Search Terms","Añadir términos de búsqueda"
"Remove","Eliminar"
"ID","ID"
"Query Text","Texto de consulta"
"Is Spellchecked","Está comprobado ortografía"
"Actions","Acciones"
"Select Search Terms","Seleccionar términos de búsqueda"
"Cancel","Cancelar"
"Add Selected Terms","Añadir Términos Seleccionados"
"Category Product View","Vista de producto de categoría"
"All Categories","Todas las categorías"
"Selected categories","Categorías seleccionadas"
"Apply to categories","Aplicar a categorías"
"Configuration","Configuración"
"Boost value (%)","Valor de impulso (%)"
"From -99 to 10000","De -99 a 10000"
"Attribute","Atributo"
"Only numeric attributes are available here.","Sólo los atributos numéricos están disponibles aquí."
"Logarithmic","Logarítmica"
"Square Root","Raíz cuadrada"
"Linear","Lineal"
"Scale function","Función de escala"
"Boost value (multiply)","Valor de impulso (múltiple)"
"Value the field will be multiplied by before applying the scale function","Valor que el campo se multiplicará por antes de aplicar la función de escala"
"Value the field will be multiplied by before potentially limiting the boost impact","Valor por el que se multiplicará el campo antes de limitar potencialmente el impacto del incremento"
"Apply to products","Aplicar a los productos"
"Category Preview","Vista previa de categoría"
"Add New Optimizer","Añadir nuevo optimizador"
"All Store Views","Todas las vistas de la tienda"
"Name","Nombre"
"Constant Score","Puntuación Constante"
"Active","Activo"
"Inactive","Inactivo"
"Status","Estado"
"Duplicate","Duplicate"
"Something went wrong while duplicating the optimizer.","Algo salió mal al duplicar el optimizador."
"You duplicated the optimizer.","Duplicó el optimizador."
"Using extreme boost values complicates achieving a balance between optimizers.","Usar valores de impulso extremos complica la consecución de un equilibrio entre optimizadores."
"Boost & Bury","Potenciar y jurar"
"Boost impact","Impacto de impulso"
"Low","Baja"
"Low (deprecated)","Bajo (obsoleto)"
"Medium","Medio"
"High","Alta"
"scale function desc","Los optimizadores basados en atributos pueden fácilmente eclipsar los marcadores constantes. Puedes limitar el impacto de impulso reduciendo el rango inicial de valores de fuente en bruto para mantener la dispersión de los impulsos aplicados a algo razonable, tanto entre los productos impactados por este optimizador como con respecto a los productos sólo impulsados por otros optimizadores."
"log1p desc","Muy agresivamente reduce la dispersión de valores de potenciación al conservar la potencia de diez del valor de atributo (usando el logaritmo común), para que un producto con un valor de 100 sea optimizado en un factor de 2, un producto con un valor de 1000 será optimizado en un factor de 3, un producto con un valor de 10000 será optimizado en un factor de 4."
"sqrt desc","Reduce agresivamente la propagación de los valores del atributo boost aplicando la función raíz cuadrada : un producto con un valor de 10 será impulsado por un factor de alrededor de 3, un producto con un valor de 100 será optimizado en un factor de 10, un producto con un valor de 1000 será optimizado en un factor de alrededor de 30, un producto con un valor de 10000 será optimizado en un factor de 100."
"none desc","Ningún cambio en la propagación de los valores de atributos de potenciador que se toman como está, por lo que un producto con un valor de atributo de 1000 será optimizado 200 veces más que un producto con un valor de atributo de 5. Esta función es más adecuada para valores que no tienen un rango muy amplio."
"Manage Elasticsuite Search Optimizers","Administrar optimizadores de búsqueda de Elasticsuite"
