"Back","Indietro"
"Delete","Elimina"
"Are you sure you want to do this?","Sei sicuro di voler fare questo?"
"Save","Salva"
"Save and Continue Edit","Salva e continua a modificare"
"Rule conditions","Condizioni di regola"
"Optimizer","Ottimizzatore"
"New Optimizer","Nuovo Ottimizzatore"
"This optimizer no longer exists.","Questo ottimizzatore non esiste più."
"You deleted the optimizer %1.","Hai eliminato l'ottimizzatore %1."
"Edit %1","Modifica %1"
"Something went wrong while editing the optimizer.","Qualcosa è andato storto durante la modifica dell'ottimizzatore."
"Optimizers List","Lista Ottimizzatori"
"Optimizers","Ottimizzatori"
"You saved the optimizer %1.","Hai salvato l'ottimizzatore %1."
"End Date must follow Start Date.","La data di fine deve seguire la data di inizio."
"Could not save the optimizer: %1","Impossibile salvare l'ottimizzatore: %1"
"label","etichetta"
"Edit","Modifica"
"Delete %1","Elimina %1"
"Are you sure you want to delete %1 ?","Sei sicuro di voler eliminare %1?"
"Yes","Sì"
"No","No"
"Search Query","Query Di Ricerca"
"Preview","Anteprima"
"Base Results","Risultati Base"
"Optimized Results","Risultati Ottimizzati"
"Show more","Mostra di più"
"Score : ","Punteggio : "
"Optimizer Information","Informazioni Ottimizzatore"
"Enable optimizer","Abilita ottimizzatore"
"Store View","Vista Negozio"
"Constant","Costante"
"Based on attribute value","Basato sul valore dell'attributo"
"Model","Modello"
"Optimizer Name","Nome Ottimizzatore"
"Active from","Attivo da"
"Active to","Attivo a"
"Request type","Tipo di richiesta"
"Catalog Product Search","Ricerca Prodotti Catalogo"
"All search terms","Tutti i termini di ricerca"
"Selected search terms","Termini di ricerca selezionati"
"Apply to","Applica a"
"Select the search terms for which you want the optimizer to apply.","Selezionare i termini di ricerca per i quali si desidera applicare l'ottimizzatore."
"Add Search Terms","Aggiungi Termini Di Ricerca"
"Remove","Rimuovi"
"ID","ID"
"Query Text","Testo Query"
"Is Spellchecked","È Ortografico"
"Actions","Azioni"
"Select Search Terms","Seleziona Termini Di Ricerca"
"Cancel","Annulla"
"Add Selected Terms","Aggiungi Termini Selezionati"
"Category Product View","Vista Prodotto Categoria"
"All Categories","Tutte Le Categorie"
"Selected categories","Categorie selezionate"
"Apply to categories","Applica alle categorie"
"Configuration","Configurazione"
"Boost value (%)","Valore di incremento (%)"
"From -99 to 10000","Da -99 a 10000"
"Attribute","Attributo"
"Only numeric attributes are available here.","Qui sono disponibili solo gli attributi numerici."
"Logarithmic","Logaritmica"
"Square Root","Radice Quadrata"
"Linear","Lineare"
"Scale function","Funzione scala"
"Boost value (multiply)","Valore potenziato (moltiplica)"
"Value the field will be multiplied by before applying the scale function","Valore che il campo sarà moltiplicato per prima di applicare la funzione di scala"
"Value the field will be multiplied by before potentially limiting the boost impact","Valore del campo sarà moltiplicato per prima di limitare potenzialmente l'impatto della spinta"
"Apply to products","Applica ai prodotti"
"Category Preview","Anteprima Categoria"
"Add New Optimizer","Aggiungi Nuovo Ottimizzatore"
"All Store Views","Tutte Le Viste Negozio"
"Name","Nome"
"Constant Score","Punteggio Costante"
"Active","Attivo"
"Inactive","Inattivo"
"Status","Stato"
"Duplicate","Duplicate"
"Something went wrong while duplicating the optimizer.","Qualcosa è andato storto durante la duplicazione dell'ottimizzatore."
"You duplicated the optimizer.","Hai duplicato l'ottimizzatore."
"Using extreme boost values complicates achieving a balance between optimizers.","L'utilizzo di valori di spinta estremi complica il raggiungimento di un equilibrio tra ottimizzatori."
"Boost & Bury","Boost & Bury"
"Boost impact","Impatto potenziato"
"Low","Basso"
"Low (deprecated)","Bassa (deprecata)"
"Medium","Medio"
"High","Alto"
"scale function desc","Gli ottimizzatori basati sul valore degli attributi possono facilmente oscurare quelli costanti. È possibile limitare l'impatto della spinta riducendo l'intervallo iniziale dei valori di origine grezzi per mantenere la diffusione degli impulsi applicati a qualcosa di ragionevole, sia tra i prodotti colpiti da questo ottimizzatore sia per quanto riguarda i prodotti potenziati solo da altri ottimizzatori."
"log1p desc","Molto aggressivamente riduce la diffusione dei valori di spinta mantenendo la potenza di dieci del valore dell'attributo (utilizzando il logaritmo comune), quindi un prodotto con un valore di 100 sarà aumentato di un fattore 2, un prodotto con un valore di 1000 sarà aumentato di un fattore 3, un prodotto con un valore di 10000 sarà aumentato di un fattore 4."
"sqrt desc","Riduce in modo aggressivo lo spread dei valori degli attributi boost applicando la funzione radice quadrata : un prodotto con un valore di 10 sarà aumentato di un fattore di circa 3, un prodotto con un valore di 100 sarà aumentato di un fattore 10, un prodotto con un valore di 1000 sarà aumentato di un fattore di circa 30, un prodotto con un valore di 10000 sarà aumentato di un fattore 100."
"none desc","Nessuna modifica allo spread dei valori degli attributi di amplificazione che sono presi com'è, quindi un prodotto con un valore di attributo di 1000 sarà aumentato 200 volte più di un prodotto con un valore di attributo di 5. Questa funzione è più adatta per valori che non hanno una gamma molto ampia."
"Manage Elasticsuite Search Optimizers","Gestisci Elasticsuite Ottimizzatori Di Ricerca"
