"Conditions Combination","Combinación de condiciones"
"Product Attribute","Atributo del producto"
"Only in stock products","Sólo en productos de stock"
"Only discounted products","Sólo productos con descuento"
"Only products with image","Sólo productos con imagen"
"Only bundle products","Sólo paquetes de productos"
"Only configurable products","Sólo productos configurables"
"Only downloadable products","Sólo productos descargables"
"Only giftcard products","Sólo productos de giftcard"
"Only grouped products","Sólo productos agrupados"
"Only simple products","Sólo productos simples"
"Catalog Rules Configuration","Configuración de reglas de catálogo"
"Alphabetical sorting of attribute options in the rule engine","Clasificación alfabética de opciones de atributos en el motor de reglas"
"If enabled, will forcefully sort select and multiselect attributes' option labels alphabetically when displaying them in the rule engine used by Optimizers and Virtual Categories. Useful if you have product attributes with very long list of options.","Si está activado, ordenará forzosamente las etiquetas de opciones de selección múltiple y de atributos alfabéticos al mostrarlas en el motor de reglas usado por Optimizadores y Categorías Virtuales. Útil si tiene atributos de producto con una lista muy larga de opciones."
"Stock qty","Cantidad de stock"
