"Conditions Combination","Combinazione Di Condizioni"
"Product Attribute","Attributo Prodotto"
"Only in stock products","Solo in magazzino"
"Only discounted products","Solo prodotti scontati"
"Only products with image","Solo prodotti con immagine"
"Only bundle products","Solo prodotti bundle"
"Only configurable products","Solo prodotti configurabili"
"Only downloadable products","Solo prodotti scaricabili"
"Only giftcard products","Solo prodotti gift card"
"Only grouped products","Solo prodotti raggruppati"
"Only simple products","Solo prodotti semplici"
"Catalog Rules Configuration","Configurazione Regole Catalogo"
"Alphabetical sorting of attribute options in the rule engine","Ordinamento alfabetico delle opzioni degli attributi nel motore della regola"
"If enabled, will forcefully sort select and multiselect attributes' option labels alphabetically when displaying them in the rule engine used by Optimizers and Virtual Categories. Useful if you have product attributes with very long list of options.","Se abilitata, ordina con forza le etichette delle opzioni degli attributi e multiseletta alfabeticamente quando le visualizza nel motore delle regole usato da Ottimizzatori e Categorie Virtuali. Utile se si dispone di attributi di prodotto con un elenco molto lungo di opzioni."
"Stock qty","Quantità di magazzino"
