"Merchandiser","Mercadotecnia",""
"Back","Atrás",""
"Reset","Reset",""
"Save and Continue Edit","Guardar y continuar editando",""
"Save","Guardar",""
"1 product","1 producto",""
"<%- count %> products","<%- count %> productos",""
"No products in the selected range.","No hay productos en el rango seleccionado.",""
"Search Configuration","Configuración de búsqueda",""
"Can be used only with catalog input type Text field, Dropdown, Multiple Select and Price.","Sólo se puede utilizar con el campo de texto del tipo de entrada del catálogo, desplegable, selección múltiple y precio.",""
"Display in autocomplete","Mostrar en autocompletado",""
"Facet coverage rate","Tasa de cobertura de facetas",""
"Ex: Brand facet will be displayed only if 90% of the product have a brand.","Ej: La faceta de la marca se mostrará sólo si el 90% del producto tiene una marca.",""
"Facet max. size","Tamaño máximo de la faceta",""
"Max number of values returned by a facet query.","Número máximo de valores devueltos por una consulta de facetas.",""
"Facet sort order","Orden de facetas",""
"Search Weight","Buscar peso",""
"Used in spellcheck","Usado en el corrector ortográfico",""
"First","Primero",""
"Last","Última",""
"Sort products without value when sorting ASC","Ordenar productos sin valor al ordenar ASC",""
"How the products which are missing values for this attribute should be treated when using it to sort.","Cómo los productos que faltan valores para este atributo deben ser tratados cuando se utiliza para ordenar.",""
"Sort products without value when sorting DESC","Ordenar productos sin valor al ordenar DESC",""
"Slider Display Configuration","Configuración de visualización deslizante",""
"Display pattern","Patrón de pantalla",""
"A pattern like %s UNIT where %s is the value. Eg : $%s => $20 or %s € => 20 €","Un patrón como %s UNIDAD donde %s es el valor. Ej: $%s => $20 o %s € => 20 €",""
"Display Precision","Mostrar precisión",""
"The number of digits to use for precision when displaying.","El número de dígitos a usar para la precisión al mostrar.",""
"No exact results found for: <b>'%1'</b>. The displayed items are the closest matches.","No se han encontrado resultados exactos para: <b>'%1'</b>. Los elementos mostrados son los más cercanos.",""
"No search specified.","Ninguna búsqueda especificada.",""
"This search no longer exists.","Esta búsqueda ya no existe.",""
"Search results for ""%1""","Resultados de búsqueda para ""%1""",""
"Unable to save positions.","No se pueden guardar las posiciones.",""
"Auto","Auto",""
"Always hidden","Siempre oculto",""
"Always displayed","Mostrar siempre",""
"Result count","Número de resultados",""
"Admin sort","Ordenar admin",""
"Name","Nombre",""
"Relevance","Relevancia",""
"%1 and above","%1 y superior",""
"%1 - %2","%1 - %2",""
"%1 is the only product matching your '%2' search.","%1 es el único producto que coincide con tu búsqueda '%2'.",""
"item","objeto",""
"items","objetos",""
"OK","Ok",""
"Shop By","Comprar por",""
"Clear All","Limpiar todo",""
"Shopping Options","Opciones de compra",""
"Your product selection is empty.","Su selección de producto está vacía.",""
"Automatic Sort","Ordenar automáticamente",""
"Manual Sort","Orden manual",""
"Show more","Mostrar más",""
"Search","Buscar",""
"Refine search","Refinar búsqueda",""
"Clear search","Limpiar búsqueda",""
"Your search returned no results.","Su búsqueda no ha devuelto resultados.",""
"Preview Only Mode","Modo de previsualización",""
"Clear product positions","Limpiar posiciones del producto",""
"Clear all products positions and blacklist status ?","¿Borrar todas las posiciones de los productos y el estado de la lista negra?",""
"In Stock","En stock",""
"Out Of Stock","Fuera de stock",""
"Show less","Mostrar menos",""
"No value matching the search <b>%s</b>.","Ningún valor que coincida con la búsqueda <b>%s</b>.",""
"Search (%s)","Buscar (%s)",""
"Product Autocomplete","Autocompletar producto",""
"Max Size","Max Size",""
"Maximum number of products to display in autocomplete results.","Número máximo de productos a mostrar en los resultados de autocompletar.",""
"Product Attributes Autocomplete","Atributos de producto Autocompletar",""
"Maximum number of product attributes to display in autocomplete results.","Número máximo de atributos de producto a mostrar en los resultados de autocompletar.",""
"Category Autocomplete","Autocompletar categoría",""
"Maximum number of categories to display in autocomplete results.","Número máximo de categorías a mostrar en los resultados de autocompletar.",""
"Catalog Search","Búsqueda de catálogo",""
"Catalog Search Configuration","Configuración de búsqueda de catálogo",""
"Redirect to product page if only one result","Redirigir a la página del producto si solo un resultado",""
"If there is only one product matching a given search query, the user will be redirect to this product page.","Si sólo hay un producto que coincida con una determinada consulta de búsqueda, el usuario será redirigido a esta página del producto.",""
"Use URL Rewrites for Category Filter in category navigation","Usar reescrituras URL para el filtro de categorías en la navegación de categorías",""
