"Merchandiser","Merchandiser",""
"Back","Indietro",""
"Reset","Reset",""
"Save and Continue Edit","Salva e continua a modificare",""
"Save","Salva",""
"1 product","1 prodotto",""
"<%- count %> products","<%- count %> prodotti",""
"No products in the selected range.","Nessun prodotto nell'intervallo selezionato.",""
"Search Configuration","Configurazione Ricerca",""
"Can be used only with catalog input type Text field, Dropdown, Multiple Select and Price.","Può essere utilizzato solo con il tipo di input del catalogo Campo di testo, Dropdown, Selezione multipla e Prezzo.",""
"Display in autocomplete","Visualizza in completamento automatico",""
"Facet coverage rate","Tasso di copertura sfaccettata",""
"Ex: Brand facet will be displayed only if 90% of the product have a brand.","Ex: Marca sfaccettatura sarà visualizzata solo se il 90% del prodotto ha un marchio.",""
"Facet max. size","Dimensione massima sfaccettatura",""
"Max number of values returned by a facet query.","Numero massimo di valori restituiti da una query di aspetti.",""
"Facet sort order","Ordinamento delle sfaccettature",""
"Search Weight","Peso Ricerca",""
"Used in spellcheck","Usato nel controllo ortografico",""
"First","Primo",""
"Last","Ultimo",""
"Sort products without value when sorting ASC","Ordina prodotti senza valore quando si ordina ASC",""
"How the products which are missing values for this attribute should be treated when using it to sort.","Come devono essere trattati i prodotti che sono valori mancanti per questo attributo quando lo si usa per ordinare.",""
"Sort products without value when sorting DESC","Ordina i prodotti senza valore quando si ordina il DESC",""
"Slider Display Configuration","Configurazione Visualizzazione Slider",""
"Display pattern","Visualizza sequenza",""
"A pattern like %s UNIT where %s is the value. Eg : $%s => $20 or %s € => 20 €","Un modello come %s UNITÀ dove %s è il valore. Eg : $%s => $20 o %s € => 20 €",""
"Display Precision","Precisione Visualizzazione",""
"The number of digits to use for precision when displaying.","Il numero di cifre da usare per la precisione durante la visualizzazione.",""
"No exact results found for: <b>'%1'</b>. The displayed items are the closest matches.","Nessun risultato esatto trovato per: <b>'%1'</b>. Gli elementi visualizzati sono le partite più vicine.",""
"No search specified.","Nessuna ricerca specificata.",""
"This search no longer exists.","Questa ricerca non esiste più.",""
"Search results for ""%1""","Risultati ricerca per ""%1""",""
"Unable to save positions.","Impossibile salvare le posizioni.",""
"Auto","Automatico",""
"Always hidden","Sempre nascosto",""
"Always displayed","Sempre visualizzato",""
"Result count","Conteggio dei risultati",""
"Admin sort","Ordinamento amministratore",""
"Name","Nome",""
"Relevance","Rilevanza",""
"%1 and above","%1 e oltre",""
"%1 - %2","%1 - %2",""
"%1 is the only product matching your '%2' search.","%1 è l'unico prodotto che corrisponde alla tua ricerca '%2.",""
"item","elemento",""
"items","elementi",""
"OK","OK",""
"Shop By","Negozio Per",""
"Clear All","Cancella Tutto",""
"Shopping Options","Opzioni Shopping",""
"Your product selection is empty.","La selezione del prodotto è vuota.",""
"Automatic Sort","Ordinamento Automatico",""
"Manual Sort","Ordinamento Manuale",""
"Show more","Mostra di più",""
"Search","Cerca",""
"Refine search","Affina ricerca",""
"Clear search","Cancella ricerca",""
"Your search returned no results.","La ricerca non ha prodotto risultati.",""
"Preview Only Mode","Modalità Solo Anteprima",""
"Clear product positions","Cancella posizioni prodotto",""
"Clear all products positions and blacklist status ?","Cancellare tutte le posizioni dei prodotti e lo stato della blacklist?",""
"In Stock","In Stock",""
"Out Of Stock","Esaurito",""
"Show less","Mostra meno",""
"No value matching the search <b>%s</b>.","Nessun valore corrispondente alla ricerca <b>%s</b>.",""
"Search (%s)","Ricerca (%s)",""
"Product Autocomplete","Autocompletamento Prodotto",""
"Max Size","Max Size",""
"Maximum number of products to display in autocomplete results.","Numero massimo di prodotti da visualizzare in risultati di completamento automatico.",""
"Product Attributes Autocomplete","Attributi Prodotto Completamento Automatico",""
"Maximum number of product attributes to display in autocomplete results.","Numero massimo di attributi di prodotto da visualizzare nei risultati di completamento automatico.",""
"Category Autocomplete","Categoria Completamento Automatico",""
"Maximum number of categories to display in autocomplete results.","Numero massimo di categorie da visualizzare nei risultati di completamento automatico.",""
"Catalog Search","Ricerca Catalogo",""
"Catalog Search Configuration","Configurazione Ricerca Catalogo",""
"Redirect to product page if only one result","Reindirizza alla pagina del prodotto se un solo risultato",""
"If there is only one product matching a given search query, the user will be redirect to this product page.","Se c'è un solo prodotto che corrisponde a una determinata interrogazione di ricerca, l'utente sarà reindirizzato a questa pagina del prodotto.",""
"Use URL Rewrites for Category Filter in category navigation","Usa URL Rewrites per il filtro categoria nella navigazione delle categorie",""
"When set to yes, users are redirected (and all filters are reset) to the chosen category page when they use the category filter in layered navigation.","Quando impostato su sì, gli utenti vengono reindirizzati (e tutti i filtri vengono resettati) alla pagina di categoria scelta quando usano il filtro categoria nella navigazione a strati.",""
"Expanded facets","Aspetti espansi",""
"Number of facets to display expanded by default.","Numero di sfaccettature da visualizzare espanse di default.",""
"ElasticSuite Category Indexing","ElasticSuite Categoria Indicizzazione",""
"Reindex ElasticSuite catalog categories.","Reindicizza le categorie di catalogo ElasticSuite.",""
"Is Spellchecked","È Ortografico",""
"Yes","Sì",""
"No","No",""
"Layered Navigation Filters","Filtri Di Navigazione A Livelli",""
