"Save Config","Guardar configuración"
"[GLOBAL]","[GLOBAL]"
"[CONTAINER]","[CONTAINER]"
"[CONTAINER - STORE VIEW]","[CONTINER - VISTA DE TIEMPO]"
"Use Default","Usar por defecto"
"Use Container","Usar Contenedor"
"All Store Views","Todas las vistas de la tienda"
"Search Engine","Motor de búsqueda"
"Relevance","Relevancia"
"Relevance configuration","Configuración de relevancia"
"You saved the configuration.","Guardaste la configuración."
"Something went wrong while saving this configuration:","Algo salió mal al guardar esta configuración:"
"Automatic","Automático"
"Only default scope allowed","Sólo el ámbito por defecto permitido"
"label","etiqueta"
"View:","Ver:"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Por favor, confirme el cambio de ámbito. Todos los datos que no se hayan guardado se perderán."
"Search","Buscar"
"Search entire store here...","Buscar toda la tienda aquí..."
"General","General"
"Relevance Configuration","Configuración de relevancia"
"Fulltext Base Settings","Configuración de la base de texto completo"
"Minimum Should Match","Mínimo debería coincidir"
"Tie Breaker","Rompedor de tenis"
"Phrase Match Configuration","Configuración de la frase de partida"
"Enable Boost on Phrase Match","Activar Optimizar en coincidencia de frases"
"Phrase Match Boost Value","Valor de mejora de frases"
"Cutoff Frequency Configuration","Configuración de Frecuencia de Corte"
"Cutoff Frequency","Frecuencia de corte"
"A number between 0 and 1. Used as automatic stopwords detection threshold.","Un número entre 0 y 1. Utilizado como umbral automático de detección de palabras paradas."
"Spellchecking Configuration","Spellchecking Configuration"
"Search Fuzziness Configuration","Configuración de búsqueda Fuzziness"
"Enable Fuzziness","Activar Fuzziness"
"Fuzziness Value","Valor de Fuzziness"
"Allowed values ""1"", ""2"" or ""AUTO"". See doc <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-fuzzy-query.html#_parameters_7' target='_blank'>here</a> for more information.","Valores permitidos ""1"", ""2"" o ""AUTO"". Vea el documento <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-fuzzy-query.html#_parameters_7' target='_blank'>aquí</a> para más información."
"Fuzziness Prefix Length","Longitud del prefijo de Fuzziness"
