"Save Config","Salva Configurazione"
"[GLOBAL]","[GLOBAL]"
"[CONTAINER]","[CONTAINER]"
"[CONTAINER - STORE VIEW]","[CONTENITORE - VISTA STORI]"
"Use Default","Usa Predefinito"
"Use Container","Usa Contenitore"
"All Store Views","Tutte Le Viste Negozio"
"Search Engine","Motore Di Ricerca"
"Relevance","Rilevanza"
"Relevance configuration","Configurazione rilevanza"
"You saved the configuration.","Hai salvato la configurazione."
"Something went wrong while saving this configuration:","Qualcosa è andato storto durante il salvataggio della configurazione:"
"Automatic","Automatico"
"Only default scope allowed","Solo ambito predefinito consentito"
"label","etichetta"
"View:","Vista:"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Conferma il cambio di scopo. Tutti i dati che non sono stati salvati andranno persi."
"Search","Cerca"
"Search entire store here...","Cerca qui tutto il negozio..."
"General","Generale"
"Relevance Configuration","Configurazione Rilevanza"
"Fulltext Base Settings","Impostazioni Base Testo Intero"
"Minimum Should Match","Corrispondenza Minima Dovrebbe"
"Tie Breaker","Interruttore Tie"
"Phrase Match Configuration","Configurazione Partita Frase"
"Enable Boost on Phrase Match","Abilita Boost alla Partita di Frase"
"Phrase Match Boost Value","Frase Match Boost Value"
"Cutoff Frequency Configuration","Configurazione Frequenza Di Cutoff"
"Cutoff Frequency","Frequenza Di Cutoff"
"A number between 0 and 1. Used as automatic stopwords detection threshold.","Un numero compreso tra 0 e 1. Utilizzato come soglia di rilevamento automatico delle parole di arresto."
"Spellchecking Configuration","Spellchecking Configuration"
"Search Fuzziness Configuration","Ricerca Configurazione Fuzziness"
"Enable Fuzziness","Abilita Fuzziness"
"Fuzziness Value","Valore Fuzziness"
"Allowed values ""1"", ""2"" or ""AUTO"". See doc <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-fuzzy-query.html#_parameters_7' target='_blank'>here</a> for more information.","Valori ammessi ""1"", ""2"" o ""AUTO"". Vedi doc <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/query-dsl-fuzzy-query.html#_parameters_7' target='_blank'>qui</a> per maggiori informazioni."
"Fuzziness Prefix Length","Lunghezza Prefisso Fuzziness"
