"Indices Status","Indices Status"
"Index Title","Título del índice"
"Index Alias","Indexar alias"
"Number of documents","Número de documentos"
"Size","Tamaño"
"Index Status","Estado del índice"
"Action","Accin"
"Delete","Eliminar"
"Are you sure you want to delete the index?","¿Está seguro que desea eliminar el índice?"
"You deleted the index %1.","Ha eliminado el índice %1."
"B","B"
"KB","KB"
"MB","Mb"
"GB","GR"
"Index can't be removed.","No se puede eliminar el índice."
"Mapping for index:","Mapeo para el índice:"
"System","Sistema"
"Manage Indexes Status","Administrar estado de índices"
"Deleting index","Borrando índice"
"Indexer key","Clave de indexador"
"Index name","Nombre del índice"
"Add mapping of index","Añadir mapeo del índice"
"Indices Mapping","Mapeo de índices"
"Mapping","Mapeo"
"Analysis","Análisis"
"Analyze by Analyzer","Analizar por Analizador"
"Index name:","Nombre del índice:"
"Analyzer name:","Nombre del analizador:"
"text to analyze","texto a analizar"
"Analyze","Analizar"
"Token","Token"
"Position","Posición"
"Start Offset","Empezar Ofset"
"End Offset","Desplazamiento final"
"Show all indices","Mostrar todos los índices"
"Hide external indices","Ocultar índices externos"
"The number of shards is properly configured for the Elasticsearch cluster. No action is required at this time.","El número de fragmentos está configurado correctamente para el clúster Elasticsearch. No se requiere ninguna acción en este momento."
"The <strong>number of shards</strong> configured for Elasticsuite is <strong>incorrect</strong>.","El <strong>número de fragmentos</strong> configurado para Elasticsuite es <strong>incorrecto</strong>."
"You do not need to use <strong>%1 shards</strong> since your biggest Elasticsuite index is only <strong>%2</strong>.","No necesitas usar <strong>%1 fragmentos</strong> ya que tu índice más grande de Elasticsuite es solo <strong>%2</strong>."
"Click <a href=""%1""><strong>here</strong></a> to go to the <strong>Elasticsuite Config</strong> page and change your <strong>Number of Shards per Index</strong> parameter according to our <a href=""%2"" target=""_blank""><strong>Wiki page</strong></a>.","Haga clic en <a href=""%1""><strong>aquí</strong></a> para ir a la página <strong>Configuración de Elasticsuite</strong> y cambiar su parámetro <strong>Número de Fragmentos por Índice</strong> de acuerdo con nuestro parámetro <a href=""%2"" target=""_blank""><strong>Página del Wiki</strong></a>."
"The number of replicas is properly configured for the Elasticsearch cluster. No action is required at this time.","El número de réplicas está configurado correctamente para el cluster Elasticsearch. No se requiere ninguna acción en este momento."
"The <strong>number of replicas</strong> configured for Elasticsuite is <strong>incorrect</strong>. You cannot use <strong>%1 replicas</strong> since there is only <strong>%2 nodes</strong> in your Elasticsearch cluster.","El <strong>número de replicas</strong> configurado para Elasticsuite es <strong>incorrecto</strong>. No puedes usar <strong>%1 replicas</strong> ya que solo hay nodos <strong>%2</strong> en tu clúster Elasticsearch."
"Click <a href=""%1""><strong>here</strong></a> to go to the <strong>Elasticsuite Config</strong> page and change your <strong>Number of Replicas per Index</strong> parameter according to our <a href=""%2"" target=""_blank""><strong>Wiki page</strong></a>.","Haz clic <a href=""%1""><strong>aquí</strong></a> para ir a la página <strong>Configuración de Elasticsuite</strong> y cambiar tu parámetro <strong>Número de Replicas por Índice</strong> de acuerdo con nuestro parámetro <a href=""%2"" target=""_blank""><strong>Página de Wiki</strong></a>."
"There are no ghost indices in your Elasticsearch cluster. No action is required at this time.","No hay índices fantasma en su cluster Elasticsearch. No se requiere ninguna acción en este momento."
"You have <strong>%1 ghost indices</strong>. Ghost indices have a footprint on your Elasticsearch cluster health. You should consider removing them.","You have <strong>%1 ghost indices</strong>. Ghost indices have a footprint on your Elasticsearch cluster health. You should consider removing them."
"Click here to go to the <a href=""%1""><strong>Elasticsuite Indices</strong></a> page to take appropriate actions.","Haga clic aquí para ir a la página <a href=""%1""><strong>Elasticsuite Indices</strong></a> para tomar las acciones apropiadas."
"Click <a href=""%1""><strong>here</strong></a> to go to the <strong>Elasticsuite Indices</strong> page to take appropriate actions.","Haz clic <a href=""%1""><strong>aquí</strong></a> para ir a la página <strong>Indicios de Elasticsuite</strong> para tomar las acciones adecuadas."
