"Indices Status","Indices Status"
"Index Title","Titolo Indice"
"Index Alias","Alias Indice"
"Number of documents","Numero di documenti"
"Size","Dimensione"
"Index Status","Stato Indice"
"Action","Azione"
"Delete","Elimina"
"Are you sure you want to delete the index?","Sei sicuro di voler eliminare l'indice?"
"You deleted the index %1.","Hai eliminato l'indice %1."
"B","B"
"KB","KB"
"MB","MB"
"GB","GB"
"Index can't be removed.","L'indice non può essere rimosso."
"Mapping for index:","Mappatura dell'indice:"
"System","Sistema"
"Manage Indexes Status","Gestisci Stato Indici"
"Deleting index","Eliminazione indice"
"Indexer key","Chiave indicizzatore"
"Index name","Nome indice"
"Add mapping of index","Aggiungi mappatura dell'indice"
"Indices Mapping","Mappatura Indici"
"Mapping","Mappatura"
"Analysis","Analisi"
"Analyze by Analyzer","Analizza per Analizzatore"
"Index name:","Nome indice:"
"Analyzer name:","Nome dell'analizzatore:"
"text to analyze","testo da analizzare"
"Analyze","Analizza"
"Token","Token"
"Position","Posizione"
"Start Offset","Avvia Offset"
"End Offset","Fine Offset"
"Show all indices","Mostra tutti gli indici"
"Hide external indices","Nascondi indici esterni"
"The number of shards is properly configured for the Elasticsearch cluster. No action is required at this time.","Il numero di frammenti è configurato correttamente per il cluster Elasticsearch. Al momento non è necessaria nessuna azione."
"The <strong>number of shards</strong> configured for Elasticsuite is <strong>incorrect</strong>.","Il numero <strong>di frammenti</strong> configurato per Elasticsuite è <strong>errato</strong>."
"You do not need to use <strong>%1 shards</strong> since your biggest Elasticsuite index is only <strong>%2</strong>.","Non è necessario utilizzare frammenti <strong>%1</strong> dal momento che il tuo più grande indice Elasticsuite è solo <strong>%2</strong>."
"Click <a href=""%1""><strong>here</strong></a> to go to the <strong>Elasticsuite Config</strong> page and change your <strong>Number of Shards per Index</strong> parameter according to our <a href=""%2"" target=""_blank""><strong>Wiki page</strong></a>.","Clicca <a href=""%1""><strong>qui</strong></a> per andare alla pagina <strong>Elasticsuite Config</strong> e cambiare il tuo parametro <strong>Numero di frammenti per indice</strong> secondo la nostra pagina <a href=""%2"" target=""_blank""><strong>Wiki</strong></a>."
"The number of replicas is properly configured for the Elasticsearch cluster. No action is required at this time.","Il numero di repliche è configurato correttamente per il cluster Elasticsearch. Al momento non è necessaria nessuna azione."
"The <strong>number of replicas</strong> configured for Elasticsuite is <strong>incorrect</strong>. You cannot use <strong>%1 replicas</strong> since there is only <strong>%2 nodes</strong> in your Elasticsearch cluster.","Il numero <strong>di repliche</strong> configurato per Elasticsuite è <strong>errato</strong>. Non è possibile utilizzare <strong>%1 repliche</strong> poiché ci sono solo <strong>%2 nodi</strong> nel tuo cluster Elasticsearch."
"Click <a href=""%1""><strong>here</strong></a> to go to the <strong>Elasticsuite Config</strong> page and change your <strong>Number of Replicas per Index</strong> parameter according to our <a href=""%2"" target=""_blank""><strong>Wiki page</strong></a>.","Clicca <a href=""%1""><strong>qui</strong></a> per andare alla pagina <strong>Elasticsuite Config</strong> e cambiare la tua <strong>Numero di repliche per parametro</strong> secondo la nostra <a href=""%2"" target=""_blank""><strong>Pagina Wiki</strong></a>."
"There are no ghost indices in your Elasticsearch cluster. No action is required at this time.","Non ci sono indici fantasma nel tuo cluster di Elasticsearch. Al momento non è richiesta nessuna azione."
"You have <strong>%1 ghost indices</strong>. Ghost indices have a footprint on your Elasticsearch cluster health. You should consider removing them.","Hai <strong>%1 indici fantasma</strong>. Gli indici fantasma hanno un'impronta sulla salute del tuo cluster Elasticsearch. Dovresti considerare di rimuoverli."
"Click here to go to the <a href=""%1""><strong>Elasticsuite Indices</strong></a> page to take appropriate actions.","Clicca qui per andare alla pagina <a href=""%1""><strong>Elasticsuite Indici</strong></a> per intraprendere azioni appropriate."
"Click <a href=""%1""><strong>here</strong></a> to go to the <strong>Elasticsuite Indices</strong> page to take appropriate actions.","Clicca <a href=""%1""><strong>qui</strong></a> per andare alla pagina <strong>Elasticsuite Indices</strong> per intraprendere azioni appropriate."
