"Thesaurus","Tesauro"
"Add New Thesaurus","Añadir nuevo tesauro"
"Create Thesaurus","Crear Tesauro"
"Create a Thesaurus","Crear un Tesauro"
"Synonym","Sinónimo"
"Expansion","Expansión"
"Type","Tipo"
"Thesaurus Type","Tipo de Tesauro"
"Save Thesaurus","Guardar Tesauro"
"Save and Continue Edit","Guardar y continuar editando"
"Delete Thesaurus","Eliminar Tesauro"
"Edit a Thesaurus","Editar un Tesauro"
"General Information","Información General"
"Thesaurus Name","Nombre de Thesaurus"
"Active","Activo"
"Store","Tienda"
"Bag of words","Bag de palabras"
"Synonyms","Sinónimos"
"Reference Term","Término de referencia"
"Expansion terms","Términos de expansión"
"Add Expansion Rule","Añadir regla de expansión"
"Synonym terms","Términos del sinónimo"
"Add Synonym Rule","Añadir regla de sinónimo"
"This thesaurus no longer exists.","Este tesauro ya no existe."
"You deleted the thesaurus %1.","Eliminaste el tesauro %1."
"Edit %1 (%2)","Editar %1 (%2)"
"Something went wrong while editing the thesaurus.","Algo salió mal al editar el tesauro."
"New Thesaurus (%1)","Nuevo Tesauro (%1)"
"Please select searches.","Por favor, seleccione búsquedas."
"Total of %1 record(s) were deleted.","Se eliminaron un total de %1 registro(s)."
"You saved the thesaurus %1.","Guardaste el tesauro %1."
"Thesaurus Configuration","Configuración de Tesauro"
"General Configuration","Configuración general"
"Max Allowed Rewrites","Máximo de reescrituras permitidas"
"Maximum number of thesaurus rules applied at a given time to a given search query to produce alternative queries. That number applies first to the synonyms rules and then the expansion rules. For instance if the setting's value is 2, it means each alternative query will be the result of the application of at most 2 synonyms rules and at most 2 expansion rules. But if you have 10 synonym rules and 5 expansion rules, they could all end up being applied by pairs. So be careful about augmenting this setting's value, especially if you already have a lot of rules with long lists of alternative terms.","Número máximo de reglas del tesauro aplicadas en un momento dado a una consulta de búsqueda determinada para producir consultas alternativas. Este número se aplica primero a las reglas de sinónimos y luego a las reglas de expansión. Por ejemplo, si el valor de la configuración es 2, significa que cada consulta alternativa será el resultado de la aplicación de como máximo 2 reglas de sinónimos y como máximo 2 reglas de expansión. Pero si tienes 10 reglas de sinónimo y 5 reglas de expansión, todas podrían ser aplicadas por parejas. Así que ten cuidado de aumentar el valor de esta configuración, especialmente si ya tienes muchas reglas con largas listas de términos alternativos."
"Max Alternative Search Queries","Máximo de búsquedas alternativas"
