"Thesaurus","Thesaurus"
"Add New Thesaurus","Aggiungi Nuovo Thesaurus"
"Create Thesaurus","Crea Thesaurus"
"Create a Thesaurus","Crea un Thesaurus"
"Synonym","Sinonimo"
"Expansion","Espansione"
"Type","Tipo"
"Thesaurus Type","Tipo Di Thesaurus"
"Save Thesaurus","Salva Thesaurus"
"Save and Continue Edit","Salva e continua a modificare"
"Delete Thesaurus","Elimina Thesaurus"
"Edit a Thesaurus","Modifica un Thesaurus"
"General Information","Informazioni Generali"
"Thesaurus Name","Nome Thesaurus"
"Active","Attivo"
"Store","Negozio"
"Bag of words","Sacchetto di parole"
"Synonyms","Sinonimi"
"Reference Term","Termine Di Riferimento"
"Expansion terms","Termini di espansione"
"Add Expansion Rule","Aggiungi Regola Di Espansione"
"Synonym terms","Termini sinonimo"
"Add Synonym Rule","Aggiungi Regola Sinonimo"
"This thesaurus no longer exists.","Questo thesaurus non esiste più."
"You deleted the thesaurus %1.","Hai eliminato il thesaurus %1."
"Edit %1 (%2)","Modifica %1 (%2)"
"Something went wrong while editing the thesaurus.","Qualcosa è andato storto durante la modifica del thesaurus."
"New Thesaurus (%1)","Nuovo Thesaurus (%1)"
"Please select searches.","Seleziona delle ricerche."
"Total of %1 record(s) were deleted.","Totale di %1 record sono stati eliminati."
"You saved the thesaurus %1.","Hai salvato il thesaurus %1."
"Thesaurus Configuration","Configurazione Dei Thesaurus"
"General Configuration","Configurazione Generale"
"Max Allowed Rewrites","Massima Riscrittura Consentita"
"Maximum number of thesaurus rules applied at a given time to a given search query to produce alternative queries. That number applies first to the synonyms rules and then the expansion rules. For instance if the setting's value is 2, it means each alternative query will be the result of the application of at most 2 synonyms rules and at most 2 expansion rules. But if you have 10 synonym rules and 5 expansion rules, they could all end up being applied by pairs. So be careful about augmenting this setting's value, especially if you already have a lot of rules with long lists of alternative terms.","Numero massimo di regole di thesaurus applicate in un dato momento a una determinata query di ricerca per produrre query alternative. Questo numero si applica prima alle regole sinonimi e poi alle regole di espansione. Per esempio se il valore dell'impostazione è 2, significa che ogni domanda alternativa sarà il risultato dell'applicazione al massimo di 2 regole sinonimiche e al massimo 2 regole di espansione. Ma se avete 10 regole sinonimo e 5 regole di espansione, potrebbero tutti finire per essere applicati da coppie. Quindi fai attenzione ad aumentare il valore di questa impostazione, soprattutto se hai già un sacco di regole con lunghe liste di termini alternativi."
"Max Alternative Search Queries","Query Massime Di Ricerca Alternativa"
"Maximum number of alternative search queries taken into account. Use this setting if you have performance issues arising on your cluster related to a huge volume of thesaurus rules. Defaults to 0 (no limitation).","Numero massimo di query di ricerca alternative prese in considerazione. Usa questa impostazione se hai problemi di performance sul tuo cluster relativi a un enorme volume di regole di thesaurus. Predefinito a 0 (nessuna limitazione)."
"Synonyms Configuration","Configurazione Sinonimi"
"Enable Synonyms Search","Abilita Ricerca Sinonimi"
"Synonyms Weight Divider","Divisore Di Peso Sinonimi"
"Query Expansions Configuration","Configurazione Espansione Query"
"Enable Search Expansions","Abilita Espansioni Di Ricerca"
"Concepts Weight Divider","Concetti Divisore Di Peso"
