"Add/Remove Products","Añadir/Quitar Productos"
"Force zero results for disabled categories","Forzar cero resultados para categorías deshabilitadas"
"If set to yes, any virtual category that references a disabled category in their rule or as their root category will return an empty result. Be careful modifying this option will remove all your category query cache.","Si se establece en si, cualquier categoría virtual que haga referencia a una categoría deshabilitada en su regla o como su categoría raíz devolverá un resultado vacío. Ten cuidado al modificar esta opción eliminará toda la caché de consultas de tu categoría."
"Virtual rule","Regla virtual"
"Virtual Category","Categoría virtual"
"Virtual Category Root","Root de categoría virtual"
"Products List Preview and Sorting","Vista previa de lista de productos y ordenación"
"Your product selection is empty for the selected Store View. If you are running a multi-store setup, please check this <a href='https://github.com/Smile-SA/elasticsuite/wiki/VirtualCategories#previewing-virtual-categories-on-a-multi-store-setup'>manual page</a> for more informations.","Your product selection is empty for the selected Store View. If you are running a multi-store setup, please check this <a href='https://github.com/Smile-SA/elasticsuite/wiki/VirtualCategories#previewing-virtual-categories-on-a-multi-store-setup'>manual page</a> for more informations."
"Cannot move the category : '%2' is using '%1' as virtual root category.","No se puede mover la categoría : '%2' está usando '%1' como categoría raíz virtual."
"Use default positions","Usar posiciones por defecto"
"In this mode, you can only preview products position and visibility but not change them. If you want to change them globally, switch to the 'All Store Views' Store View. If you want to change them for the currently selected Store View, change 'Use default positions' to 'No'.","En este modo, sólo puede previsualizar la posición y visibilidad de los productos pero no modificarlos. Si quieres cambiarlos globalmente, cambia a la vista de tienda 'Todas las vistas de tiendas'. Si quieres cambiarlos para la vista de la tienda seleccionada actualmente, cambia 'Usar posiciones predeterminadas' a 'No'."
