"Add/Remove Products","Aggiungi/Rimuovi Prodotti"
"Force zero results for disabled categories","Forza zero risultati per le categorie disabilitate"
"If set to yes, any virtual category that references a disabled category in their rule or as their root category will return an empty result. Be careful modifying this option will remove all your category query cache.","Se impostato a sì, qualsiasi categoria virtuale che fa riferimento a una categoria disabilitata nella loro regola o come categoria principale restituirà un risultato vuoto. Fai attenzione a modificare questa opzione rimuoverà tutte le tue categorie di query cache."
"Virtual rule","Regola virtuale"
"Virtual Category","Categoria Virtuale"
"Virtual Category Root","Radice Della Categoria Virtuale"
"Products List Preview and Sorting","Anteprima e ordinamento elenco prodotti"
"Your product selection is empty for the selected Store View. If you are running a multi-store setup, please check this <a href='https://github.com/Smile-SA/elasticsuite/wiki/VirtualCategories#previewing-virtual-categories-on-a-multi-store-setup'>manual page</a> for more informations.","La selezione del prodotto è vuota per la vista negozio selezionata. Se stai eseguendo una configurazione multi-negozio, controlla questa pagina di manuale <a href='https://github.com/Smile-SA/elasticsuite/wiki/VirtualCategories#previewing-virtual-categories-on-a-multi-store-setup'></a> per ulteriori informazioni."
"Cannot move the category : '%2' is using '%1' as virtual root category.","Impossibile spostare la categoria: '%2' sta usando '%1' come categoria radice virtuale."
"Use default positions","Usa posizioni predefinite"
"In this mode, you can only preview products position and visibility but not change them. If you want to change them globally, switch to the 'All Store Views' Store View. If you want to change them for the currently selected Store View, change 'Use default positions' to 'No'.","In questa modalità, è possibile visualizzare solo la posizione e la visibilità dei prodotti, ma non modificarli. Se si desidera modificarli globalmente, passare alla visualizzazione negozio 'Tutte le viste negozio'. Se vuoi cambiarli per la Vista Negozio attualmente selezionata, cambia 'Usa le posizioni predefinite' in 'No'."
